,median,low_err,high_err
e_i_peak,272.7811087241554,18.068945440549783,17.72752769296102
e_isotropic,9.053392196744068e+45,4.132191557903097e+44,3.19373683452363e+44
e_i_peak,371.8694003686653,24.588331318295616,24.52556446969476
e_isotropic,2.4930849223102816e+47,1.1334202932899516e+46,9.108252722443078e+45
e_i_peak,495.7567010548905,33.06592262054994,32.65674821335267
e_isotropic,1.009728977200387e+48,4.5172042203732707e+46,3.887903273031398e+46
e_i_peak,743.1848611100479,49.283260189580005,50.307108215946414
e_isotropic,3.6956594839466e+48,1.6472864317884226e+47,1.356011453122716e+47
e_i_peak,990.848355239398,65.05954424185552,65.27788699444454
e_isotropic,7.395463978786039e+48,3.3643709373996813e+47,2.7384870315688313e+47
e_i_peak,1237.8448889921317,80.56776773555907,84.32438463852736
e_isotropic,1.1726922819245366e+49,5.069914045694046e+47,4.505249222596492e+47
e_i_peak,1487.0578179674426,100.06001225455655,98.5683745942506
e_isotropic,1.653917160404495e+49,7.502955365693449e+47,5.963068912908618e+47
e_i_peak,1733.8859683388996,112.67883502803464,114.39193480400763
e_isotropic,2.1648776293913668e+49,9.469540835828996e+47,7.784199418825475e+47
e_i_peak,1983.7707988047068,131.69996804930452,131.38926683482396
e_isotropic,2.7023945025440624e+49,1.1752908742541653e+48,9.43800683769184e+47
e_i_peak,2231.075891526366,147.5779850234112,143.83024032569938
e_isotropic,3.2505948263136123e+49,1.3442264799407508e+48,1.1175614877154745e+48
e_i_peak,2477.6184172946923,165.62919557035002,163.94700971880775
e_isotropic,3.80700693173092e+49,1.5370070035931098e+48,1.232914628758086e+48
e_i_peak,2725.357142132245,181.2594691427562,179.94512111331142
e_isotropic,4.370497657780886e+49,1.718339901339437e+48,1.3854950275794595e+48
