,median,low_err,high_err
e_i_peak,395.9353125639262,31.319739727948445,30.413790858562606
e_isotropic,5.032425678101181e+46,1.9935227454004654e+45,1.929202913682928e+45
e_i_peak,539.7109958644147,41.84642057049723,41.513568342834674
e_isotropic,1.3512261806344745e+48,5.122482983531202e+46,4.960315822977178e+46
e_i_peak,720.4353543167629,55.642916622203984,55.50924629059284
e_isotropic,5.3272547661633765e+48,1.990617658353081e+47,1.8164630014838304e+47
e_i_peak,1081.9747107930818,84.53247869785832,83.67691234004383
e_isotropic,1.8580108508897799e+49,6.438571074766546e+47,6.040662352958872e+47
e_i_peak,1438.8396604659442,110.1859774839652,111.66227415427738
e_isotropic,3.559510515209827e+49,1.2039666708373692e+48,1.1008563860275227e+48
e_i_peak,1803.0067854813624,141.3903955064011,136.19525906217586
e_isotropic,5.443320374499467e+49,1.730897258098218e+48,1.6115439943525757e+48
e_i_peak,2161.165094813577,169.44561998908466,164.33890883628737
e_isotropic,7.406937145342054e+49,2.360754557755415e+48,2.013422640108653e+48
e_i_peak,2522.7446904148574,198.5542095333817,193.44028761946265
e_isotropic,9.389852972976135e+49,2.8038353115913523e+48,2.5325446965047592e+48
e_i_peak,2884.9219190596023,224.70263467459245,218.50811401678584
e_isotropic,1.1368233442871607e+50,3.280682052839593e+48,2.962976418422741e+48
e_i_peak,3243.157538355522,248.00607531739843,248.83807396524932
e_isotropic,1.3319659773941594e+50,3.642592009676473e+48,3.2966793747711346e+48
e_i_peak,3606.051521993134,288.8831394328672,266.710353753389
e_isotropic,1.523364219579956e+50,4.189610193157552e+48,3.604146444490333e+48
e_i_peak,3966.158875869359,310.30858564535765,301.877215192224
e_isotropic,1.7102208103204842e+50,4.3904770243038134e+48,3.91253126968789e+48
