,median,low_err,high_err
e_i_peak,493.4043034600346,50.27379580104207,49.04736760553237
e_isotropic,9.029496453064228e+45,4.2538073336033155e+44,3.3868317785178747e+44
e_i_peak,671.7145106395797,69.2135865922121,67.91196458324055
e_isotropic,2.4245552131997448e+47,1.1311467818727816e+46,8.979018138792268e+45
e_i_peak,896.8138579795727,92.07577666423856,91.51122604606472
e_isotropic,9.548589706506632e+47,4.232085965888703e+46,3.3853801147929837e+46
e_i_peak,1341.419366611365,133.31911280385634,137.03251015049273
e_isotropic,3.328914116035021e+48,1.4057476554352574e+47,1.0834780874428255e+47
e_i_peak,1797.237740300941,180.56205914569227,177.10288743603928
e_isotropic,6.38720950375067e+48,2.586430568567758e+47,1.9570914181765117e+47
e_i_peak,2240.94614676726,227.84754113407143,226.9916697773292
e_isotropic,9.752004066584643e+48,3.9957844117967645e+47,2.8903089593473264e+47
e_i_peak,2684.1554344170645,277.35977175246126,268.94085332935083
e_isotropic,1.3233464799180392e+49,5.052274215139327e+47,3.91893462466657e+47
e_i_peak,3142.1290099839034,324.9637945842351,306.6433065389142
e_isotropic,1.678917106496496e+49,6.0169591907185796e+47,4.5145764633076096e+47
e_i_peak,3586.781295664648,366.56143876248416,346.8355496933409
e_isotropic,2.02978580741296e+49,7.0261176686662936e+47,5.169070067759486e+47
e_i_peak,4028.928430552124,409.3303202066336,404.29472412796304
e_isotropic,2.3758687294826896e+49,8.044606891320882e+47,5.921055212268954e+47
e_i_peak,4477.213390082372,464.28365545454153,453.4463456870772
e_isotropic,2.712836721872598e+49,8.59506326867873e+47,6.495810074428383e+47
e_i_peak,4923.741490109067,499.054698699475,508.7189813480372
e_isotropic,3.0404566812386937e+49,8.794159538738334e+47,6.9511974006465464e+47
